Symbol Name, Symbol Address, Function Size, Matched
isBtkPlaying__2MRFPC9LiveActorPCc,8000A900,8,false
isBrkPlaying__2MRFPC9LiveActorPCc,8000A910,8,false
isBtpPlaying__2MRFPC9LiveActorPCc,8000A920,8,false
isBpkPlaying__2MRFPC9LiveActorPCc,8000A930,8,false
isBvaPlaying__2MRFPC9LiveActorPCc,8000A940,8,false
isBckPlayingIfExist__2MRFPC9LiveActorPCc,8000A950,64,false
isBtkPlayingIfExist__2MRFPC9LiveActorPCc,8000A9C0,60,false
isBrkPlayingIfExist__2MRFPC9LiveActorPCc,8000AA20,60,false
isBtpPlayingIfExist__2MRFPC9LiveActorPCc,8000AA80,60,false
isBpkPlayingIfExist__2MRFPC9LiveActorPCc,8000AAE0,60,false
isBvaPlayingIfExist__2MRFPC9LiveActorPCc,8000AB40,60,false
isPlayingAnim__2MRFPC9LiveActorPCc,8000ABA0,C4,false
isExistAnim__2MRFPC9LiveActorPCc,8000AC70,C4,false
isExistBck__2MRFPC9LiveActorPCc,8000AD40,6C,false
isExistBtk__2MRFPC9LiveActorPCc,8000ADB0,58,false
isExistBrk__2MRFPC9LiveActorPCc,8000AE10,58,false
isExistBtp__2MRFPC9LiveActorPCc,8000AE70,58,false
isExistBpk__2MRFPC9LiveActorPCc,8000AED0,58,false
isExistBva__2MRFPC9LiveActorPCc,8000AF30,58,false
getBckCtrl__2MRFPC9LiveActor,8000AF90,8,false
getBtkCtrl__2MRFPC9LiveActor,8000AFA0,8,false
getBrkCtrl__2MRFPC9LiveActor,8000AFB0,8,false
getBtpCtrl__2MRFPC9LiveActor,8000AFC0,8,false
getBpkCtrl__2MRFPC9LiveActor,8000AFD0,8,false
getBvaCtrl__2MRFPC9LiveActor,8000AFE0,8,false
updateMaterial__2MRFP9LiveActor,8000AFF0,C,false
createActorCameraName__29_unnamed_ActorCameraUtil_cpp_FPcUlPC9LiveActorPC15ActorCameraInfo,8000B000,3C,false
createMultiActorCameraName__29_unnamed_ActorCameraUtil_cpp_FPcUlPC9LiveActorPC15ActorCameraInfoPCc,8000B040,3C,false
createActorCameraInfo__2MRFRC12JMapInfoIter,8000B080,40,false
createActorCameraInfoIfExist__2MRFRC12JMapInfoIterPP15ActorCameraInfo,8000B0C0,74,false
initActorCamera__2MRFPC9LiveActorRC12JMapInfoIterPP15ActorCameraInfo,8000B140,10,false
initMultiActorCamera__2MRFPC9LiveActorRC12JMapInfoIterPP15ActorCameraInfoPCc,8000B150,74,false
